Sverre,0.1435
Runar,0.141166667
Inger,0.141
Eva,0.140333333
Iver,0.140166667
Nathalie,0.14
Ann,0.139166667
Karianne,0.138833333
Arne,0.138666667
Synnøv,0.138
Live,0.137
Torbjør,0.136833333
Tora,0.136166667
Torstein,0.1345
Kari,0.132833333
På,0.132833333
Mariell,0.1325
Tomas,0.132333333
Trygve,0.131666667
Ådne,0.130833333
Lotte,0.129166667
Emily,0.129
Hege,0.127833333
Tord,0.1275
Anita,0.125833333
Gina,0.1235
Johanna,0.1235
Didrik,0.123333333
Erling,0.122833333
Casper,0.122666667
Lukas,0.122333333
Samuel,0.122166667
Halvor,0.1215
Aleksandra,0.121
Ylva,0.120833333
Rasmus,0.1205
Carina,0.1195
Theodor,0.119333333
Isabel,0.118833333
Ivar,0.118833333
Gard,0.118
Matilde,0.117333333
Tore,0.117333333
Fabian,0.114
Audun,0.113666667
Birgitte,0.113166667
Louise,0.113166667
Regine,0.112
Inga,0.1115
Ahmad,0.110833333
Mathea,0.110333333
Axel,0.110333333
Tone,0.109166667
Kathrine,0.107833333
Odd,0.107666667
Lone,0.107333333
Janne,0.1055
Erika,0.105166667
Ada,0.104833333
Birk,0.104666667
Felix,0.104666667
Adam,0.104166667
Marlene,0.1035
Vemund,0.103166667
Gaute,0.103
Margrethe,0.102333333
Natalia,0.102333333
Katarina,0.102333333
Sigve,0.102166667
Sofia,0.101833333
Stina,0.101166667
Anine,0.101166667
Kjersti,0.101166667
Laura,0.101
Svein,0.100666667
Snorre,0.1005
Kaia,0.099666667
Chris,0.099166667
Richard,0.0985
Sanne,0.0985
Aina,0.098
Ella,0.097666667
Jonatan,0.097166667
Ludvig,0.097
Christer,0.095
Sophie,0.094166667
Elena,0.094166667
Georg,0.094
Jeanette,0.092833333
Tim,0.092
Stefan,0.0905
Mohamad,0.090333333
Rune,0.089666667
Noah,0.088166667
Kjell,0.087166667
Glenn,0.0865
Torjus,0.086333333
Leon,0.086166667
Melissa,0.0855
Aron,0.085333333
Nicholas,0.085333333
Embla,0.083333333
Paul,0.083166667
Gustav,0.082666667
Fatima,0.0825
Trond,0.0825
Nadia,0.082
Thor,0.082
Remi,0.0815
Monica,0.081333333
Åsmund,0.081166667
Rakel,0.081
Sanna,0.081
Max,0.079833333
Annika,0.0795
Susann,0.0795
Karolina,0.079333333
Lucas,0.079
Vegar,0.079
Hallvard,0.0785
Steinar,0.0785
Vanja,0.078
Jakub,0.077833333
Agnes,0.077333333
Tony,0.076666667
Julianne,0.076333333
Veronika,0.075833333
Omar,0.0745
Hassan,0.074
Marta,0.0735
Mette,0.073166667
Isabell,0.073
Maya,0.072666667
May,0.072333333
Emilia,0.072166667
Nicolay,0.071833333
Mikal,0.071166667
Juni,0.070833333
Thale,0.070333333
Leif,0.07
Ask,0.069666667
Mustafa,0.069666667
Ulrikke,0.0695
Ibrahim,0.0695
Jo,0.0695
Åshild,0.069333333
Isabella,0.069166667
Vanessa,0.069
Patrik,0.068833333
Asbjør,0.068666667
Anton,0.0685
Brede,0.068166667
Atle,0.067833333
Maia,0.0675
Marion,0.0675
Magne,0.0675
Olivia,0.067166667
Gunnar,0.066666667
Eric,0.066333333
Sina,0.066
Kristiane,0.065833333
Helen,0.065333333
Jarle,0.065333333
Beate,0.065166667
Iris,0.065166667
Runa,0.065166667
Amina,0.065
Dag,0.064666667
Marielle,0.0645
Oline,0.0645
